PLAYDATA Board901, random100, random100 : 0, 1, 0
PLAYDATA Board901, random100, hyouka-0-100 : 0, 1, 0
PLAYDATA Board901, random100, MC-100 : 0, 1, 0
PLAYDATA Board901, random100, MCT : 0, 1, 0
PLAYDATA Board901, random100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board901, random100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board901, random100, AlphaBeta1 : 0, 1, 0
PLAYDATA Board901, random100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board901, random100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board901, hyouka-0-100, random100 : 0, 1, 0
PLAYDATA Board901, hyouka-0-100, hyouka-0-100 : 0, 1, 0
PLAYDATA Board901, hyouka-0-100, MC-100 : 0, 1, 0
PLAYDATA Board901, hyouka-0-100, MCT : 0, 1, 0
PLAYDATA Board901, hyouka-0-100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board901, hyouka-0-100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board901, hyouka-0-100, AlphaBeta1 : 0, 1, 0
PLAYDATA Board901, hyouka-0-100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board901, hyouka-0-100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board901, MC-100, random100 : 0, 1, 0
PLAYDATA Board901, MC-100, hyouka-0-100 : 1, 0, 0
PLAYDATA Board901, MC-100, MC-100 : 0, 1, 0
PLAYDATA Board901, MC-100, MCT : 1, 0, 0
PLAYDATA Board901, MC-100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board901, MC-100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board901, MC-100, AlphaBeta1 : 0, 1, 0
PLAYDATA Board901, MC-100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board901, MC-100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board901, MCT, random100 : 0, 1, 0
PLAYDATA Board901, MCT, hyouka-0-100 : 0, 1, 0
PLAYDATA Board901, MCT, MC-100 : 1, 0, 0
PLAYDATA Board901, MCT, MCT : 0, 1, 0
