PLAYDATA Board601, random100, random100 : 0, 0, 1
PLAYDATA Board601, random100, hyouka-0-100 : 0, 0, 1
PLAYDATA Board601, random100, MC-100 : 0, 0, 1
PLAYDATA Board601, random100, MCT : 0, 0, 1
PLAYDATA Board601, random100, EPT_MCT1730 : 0, 0, 1
PLAYDATA Board601, random100, EPT_MCT8500 : 0, 0, 1
PLAYDATA Board601, random100, AlphaBeta1 : 0, 0, 1
PLAYDATA Board601, random100, AlphaBeta2 : 0, 0, 1
PLAYDATA Board601, random100, AlphaBeta4 : 0, 0, 1
PLAYDATA Board601, hyouka-0-100, random100 : 0, 0, 1
PLAYDATA Board601, hyouka-0-100, hyouka-0-100 : 0, 0, 1
PLAYDATA Board601, hyouka-0-100, MC-100 : 0, 0, 1
PLAYDATA Board601, hyouka-0-100, MCT : 0, 0, 1
PLAYDATA Board601, hyouka-0-100, EPT_MCT1730 : 0, 0, 1
PLAYDATA Board601, hyouka-0-100, EPT_MCT8500 : 0, 0, 1
PLAYDATA Board601, hyouka-0-100, AlphaBeta1 : 0, 0, 1
PLAYDATA Board601, hyouka-0-100, AlphaBeta2 : 0, 0, 1
PLAYDATA Board601, hyouka-0-100, AlphaBeta4 : 0, 0, 1
PLAYDATA Board601, MC-100, random100 : 0, 0, 1
PLAYDATA Board601, MC-100, hyouka-0-100 : 0, 0, 1
PLAYDATA Board601, MC-100, MC-100 : 0, 0, 1
PLAYDATA Board601, MC-100, MCT : 0, 0, 1
PLAYDATA Board601, MC-100, EPT_MCT1730 : 0, 0, 1
PLAYDATA Board601, MC-100, EPT_MCT8500 : 0, 0, 1
PLAYDATA Board601, MC-100, AlphaBeta1 : 0, 0, 1
PLAYDATA Board601, MC-100, AlphaBeta2 : 0, 0, 1
PLAYDATA Board601, MC-100, AlphaBeta4 : 0, 0, 1
PLAYDATA Board601, MCT, random100 : 0, 0, 1
PLAYDATA Board601, MCT, hyouka-0-100 : 0, 0, 1
PLAYDATA Board601, MCT, MC-100 : 0, 0, 1
PLAYDATA Board601, MCT, MCT : 0, 0, 1
PLAYDATA Board601, MCT, EPT_MCT1730 : 0, 0, 1
PLAYDATA Board601, MCT, EPT_MCT8500 : 0, 0, 1
PLAYDATA Board601, MCT, AlphaBeta1 : 0, 0, 1
PLAYDATA Board601, MCT, AlphaBeta2 : 0, 0, 1
PLAYDATA Board601, MCT, AlphaBeta4 : 0, 0, 1
PLAYDATA Board601, EPT_MCT1730, random100 : 0, 0, 1
